"","ident","AQP4_mean","SLC1A3_mean","rna_HEPACAM_mean","CD44_mean","NCAM1_mean","CD24_mean","rna_FUT4_mean","CXCR4_mean","PDGFRA_mean","rna_ITGB1_mean","rna_TF_mean","NKX2-2_mean","rna_PROM1_mean"
"1","Radial Glia - 1",0.00166482567945875,0.454825213787165,0.00150489089541008,0.00763666287315227,1.10853634911406,4.98772899906145,0.00300978179082017,1.47921604397514,0.000240241905649301,0.732129420617005,0.00376222723852521,0.0115652169405401,0.0316027088036117
"2","Neurons - 1",5.6482843401295e-05,0.0128462451874348,0,0.00291236814043643,2.48548773791155,10.7779640621837,0.00153846153846154,0.191920907816091,0.00515869108436571,0.317692307692308,0.00461538461538462,0.0135327209613928,0.00153846153846154
"3","Mixed",7.61711929261465e-05,0.0418701432893065,0,0.0182872858038568,0.675100640137511,3.8767384326382,0.00773860705073087,0.580293901273227,0.00278356807929175,0.816852966466036,0.000859845227858985,0.00647706120689726,0.00257953568357696
"4","Neurons - 2",0.00386949623995291,0.0975524220499437,0,0.00333611531489927,8.6008413497557,23.9829340486209,0.00513698630136986,0.611291628087294,0.106578035923411,1.21404109589041,0.0102739726027397,0.00273189461424809,0.0136986301369863
"5","Radial Glia - 2",2.73054209124323e-05,0.0966504144728743,0,0.00592155452373251,1.69454576909091,8.723753618149,0.0037037037037037,0.418510997501616,0.0360671517378809,0.698148148148148,0.00185185185185185,0.00215698791079489,0.00185185185185185
"6","Oligos",0,0.0203872227776531,0,0,1.76754176294661,9.12256042539238,0.0050761421319797,0.191166717486561,0.0713943748658648,0.403553299492386,0,4.72502853723839e-05,0.00761421319796954
"7","Astrocytes",0.210211065340578,0.569402572173855,0.00626959247648903,0.496401566647057,1.43459242819368,5.24228812017132,0.00940438871473354,0.792628359846808,0.0600951789033187,2.07210031347962,0.00313479623824451,0.0627024095930491,0.0219435736677116
"8","NPC",0,0.0365167720121178,0,-9.14166144157155e-06,1.8390941776512,9.45745510886093,0,0.437204271128265,0.00474752180649432,0.455752212389381,0,0.0321995486073881,0.00884955752212389
