"","Astro1","Neuro","NPC1","oligo","Astro2","IPSC","NPC2","Oligo"
"AQP4",6.75870635396075,-6.4580011863295,-6.51802184079602,-7.17257056808216,9.4065859699564,7.01350309135849,4.82212032961756,4.32770200505224
"CD56",9.52439368074912,10.947111063882,10.8056179310884,12.10853457099,8.82780391135087,8.53665973579757,12.4498340323937,12.2073239309812
"GLAST",-1.52603755537852,-3.2575142754126,-1.67760774383183,5.75528259826685,-2.8619791104986,-3.7318916634679,6.74477222748428,6.10549010551624
"CD140a",-2.56352794873657,-4.89000346967182,-5.4433122049234,1.14776127745789,-0.566424918846006,-8.35085739748817,-4.49258245466878,-1.0617525526686
"CD29",9.37441320153145,6.97871121295881,6.70693705522355,9.85332270379118,11.6562454736042,11.1145236980727,8.40472402233254,10.0790898151487
"CD44",10.4176517449248,2.37843803180911,5.28120407151446,9.77439390994741,11.2518837703459,9.06856032432922,11.4100593604482,11.2549186660828
"CD71",8.833426160669,5.66666746914477,3.70536788957235,5.15588562618453,7.03251259972877,7.89445317831839,6.60109670458821,7.65121337493131
"CD24",5.20021612466077,10.611418257107,11.0130244229222,11.1741853424276,3.1084220719476,11.8294174052556,10.7789560730535,10.4625501505105
"CD15",2.46038423519707,7.46100362101651,8.62579449035867,7.82157353603115,7.33771730947821,3.28842221663637,10.5686737122966,6.85158464867606
"O4",7.43175267985382,0.28126878423566,0.6091055209727,8.28143221256376,7.18410723328449,5.74002213607314,2.45837802169344,6.50192716928119
"HepaCAM",6.66367691536394,-0.378942378849888,0.484924714530105,3.23640056235165,-0.0756603604740117,0.169808074867516,-3.67640138543579,-2.0862335245891
"CD133",4.66901463898138,1.25751268630992,2.5869525968273,9.12241018345635,7.76393532767519,11.3750591071358,10.5417278636281,9.94844107185986
