"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"87","Maged1",66.1,207.2,215.9,138.9,37.3,52.9,58.5
"88","Ddx17",292.1,206.6,168.3,124.9,41.6,81.2,91.1
"89","Tuba1b",40.9,206.6,167.7,94.9,86.3,394.5,230.5
"90","Atp1b1",167.9,205.5,53.7,8.5,8.7,4.4,10.4
"91","Apoe",3006.2,200.4,1175.7,142.1,216.1,2460.3,133.1
"92","Prnp",295.3,196,197.6,90.8,158.4,9.2,297.7
"93","Prkar1a",67.5,195.7,136.9,120.6,98.1,91.6,161.8
"94","Malat1",515.4,194.8,60.1,72.2,20.2,22.8,28.8
"95","Eif4a2",102.1,192.3,98.4,84.6,32.5,27.1,97.1
"96","Jun",1164.3,191.1,288.3,137.3,46.5,608.7,610
"97","Cox8a",123,191,222.6,231.2,363.9,228,192.5
"98","Tsc22d1",160.6,190.8,184.1,86.9,30.4,19.7,1068.8
"99","Marcks",105.5,190.7,274.2,303.6,50.9,124.3,16.3
"100","Ngfrap1",32.1,190.5,114.4,79,29.6,21.1,44.4
"101","Cox6b1",89.7,187.9,238.3,231,279.7,210.8,305.1
"102","Gnao1",255.6,183.1,70.9,114.1,91.8,4.6,1.2
"103","Atf4",269.1,182.7,123.1,103,72,415.7,277.1
"104","Thra",27.4,181.9,91,261,179.4,23,17.9
"105","Aplp2",147.9,181.8,164.7,120.7,87.4,33.6,230.1
"106","Eef1a2",0.6,181.1,84.5,18.9,29,23,1.9
"107","Gabarapl1",55.6,178.9,119.5,75.4,72.2,59.3,217
"108","Dynll2",20.1,176.5,79.4,384.6,214.6,52.9,14.3
"109","Map1lc3a",63.5,176.3,67.7,85.6,129.9,89.4,76.9
"110","Pfn2",55.1,176.2,94.7,221.9,79.3,5,5.6
"111","Tspan3",202.4,173.4,454.1,323.4,251,57.3,76.6
"112","Itm2c",157.9,172.8,244.9,130.7,73.1,435.9,185.3
"113","Rab3a",7.3,168.8,25.9,53.8,55.9,12.2,9.9
"114","Ndufa4",75.4,167.3,176.3,143.4,116.5,64.6,244.5
"115","Bex2",18.1,166.9,77.8,48.8,12.8,3.7,2.3
"116","Atpif1",23.5,166.5,92.7,53.9,71.8,85.9,153.6
"117","Pebp1",62.3,166.4,143.7,129.4,88.9,119.4,76
"118","Gnb2l1",78.6,166.1,271.3,210.8,165.6,910.8,840.6
"119","Nr4a1",870.7,165.6,77.3,22.3,4.4,389.9,181.7
"120","Slc25a3",212.7,165.2,141.7,129,78.9,157.2,150.5
"121","Ppp2r1a",58.5,163.6,131.5,204,126.3,87.1,75.6
"122","Eif1",131.2,163.6,109.2,145.6,121.3,257.9,311.8
"123","Dpysl3",18.3,162.7,90.8,20.3,0.6,0.3,1.3
"124","Egr1",420.8,162.5,123.7,12,11.5,873.3,326.9
"125","Akr1a4",64,162.5,156.4,152.8,145.4,389.5,449.6
"126","Hnrnpa2b1",303.1,161.9,195.6,144.7,46.6,55.3,144.6
"127","Junb",379.3,160.6,82.2,5.9,10.9,2309.9,607.9
"128","Cox6a1",83.7,160.6,197.5,270.6,434.3,189.2,284.6
"129","Ywhab",34.6,160,90.1,85.7,43.7,38.9,114.4
"130","Hspa5",680.2,159.9,330.1,242.6,57,455.2,328.1
"131","Rnf187",26.2,157.2,99.7,86.6,91.3,78.4,55.8
"132","Calr",217.7,156.3,358.8,289.6,130.1,435.1,320.9
"133","Scg5",18.8,156.2,129.3,60.6,30.3,3.7,3.1
"134","Fabp7",1604.1,156.1,262.9,53.9,7.6,5.4,14.7
"135","Pgrmc1",21.2,154.7,66.7,31.1,20.6,12.5,75.1
"136","Hsbp1",50.9,153.4,119.2,121.8,146,81.9,95.8
"137","Mapt",15.4,153.4,34.5,69.1,46.7,2.9,0.8
"138","Hint1",34.6,153.3,130.6,106.7,117.1,106,220.8
"139","Fxyd6",17.2,153,161.8,58.6,5.7,2.7,17.1
"140","Bsg",98.1,152.7,243.8,97.7,63.3,263.2,7485
"141","Ctnnb1",72.5,151,169.4,109.8,74.8,80.2,357.2
"142","Stxbp1",8.2,150.8,22.4,12.2,15.8,11,13.3
"143","Dusp1",425.5,149.3,66,11.8,13.1,1234.2,708
"144","Skp1a",64.9,148.7,124.8,124,87.6,31.2,107.5
"145","Tmem130",0.3,148,5.3,0.9,1.2,0.8,0.6
"146","Scd2",892.8,147.6,376,1114.6,1326.6,40.3,70.9
"147","Stmn4",1.2,147.5,52.8,114.5,350.6,3.6,1.4
"148","Vdac1",75,147.3,91.7,65.9,44.9,44.4,72.2
"149","H3f3a",60.5,147.2,155.4,123,101.6,80.6,294.8
"150","Prdx2",54.3,147.1,159.4,148,94.4,48.9,168.7
"151","Snap25",2.1,146.7,27.1,6.3,9.8,3.6,2
"152","Sqstm1",63.6,145.7,96,81.4,79.7,415.7,337.3
"153","A930038C07Rik",1,143.8,0.9,0.1,0.1,0.1,10.5
"154","Mllt11",5,143.5,11,18.7,18,5.8,6.6
"155","Gnb2",74.7,143.5,157.8,281.7,248.5,242.8,210
"156","Aes",42.7,143.2,109.2,177.6,288.4,97.5,95
"157","6330403K07Rik",23.7,142.3,66.8,14.7,6.1,2.4,1.2
"158","Timp2",21.2,142.2,51,61.5,31.9,106.5,2.5
"159","Jund",347.6,142,157.8,92.6,71.9,673.6,316.1
"160","Dnm1",0.8,141.7,26.8,21.1,17.6,7.7,1.1
"161","Mtch1",53.8,141.5,89.8,112.1,126.4,91.1,108.5
"162","Rplp2-ps1",74.4,140.4,234.4,230.5,239.7,1005.7,675.6
"163","Nptn",65.2,140.1,97.9,46.6,22.7,48.5,50.2
"164","Spock2",25.3,138.8,51.4,14.5,5.9,3.6,691.8
"165","Islr2",0.4,138.1,1,0.3,1,0.6,1.7
"166","Gng2",2.5,136.8,16.5,3.5,1.2,12.6,5.7
"167","Mlf2",98.3,136.8,188.7,228.1,203.1,135.9,96.8
"168","Tcf25",100.4,136.4,71.9,69.3,59.9,73,55.9
"169","Fscn1",10.4,135.9,112.9,154.2,98.3,448.9,138.4
"170","Ptprs",61.1,135.1,80.3,51.3,11.8,17.5,7.1
"171","Cd81",386.853674,134.8,438.4,889,889.2,858.2,247.3
"172","Mrfap1",62.1,133,161.1,184.9,171.8,111.3,89.9
"173","Morf4l2",55.7,132.8,92.6,135.2,71.8,37.4,109.5
"174","Cd200",4.9,130.6,30.1,7.4,2.5,0.3,38
"175","Ywhaz",56.5,130.3,46,41.6,25.4,36.6,86.1
"176","Diablo",16.7,129.7,22.6,28.5,31.3,31.7,13.3
"177","Slc6a1",424.7,129.5,144.7,87.7,23,3.2,0.7
"178","Reep5",38.5,129.3,66.6,301.5,190.6,58.9,39.8
"179","Ache",0.5,128.7,20.7,4.8,0.6,2.8,0.6
"180","Clip3",29.2,128.7,64.5,156.4,123.8,4.8,1.1
"181","Grina",137,128.1,123.2,60.6,43.4,163.1,24.8
"182","Eif4g2",86.6,127.8,135.5,177.3,73,61.3,147.5
"183","Snrnp70",169.2,127.5,90,72.1,24.7,76,44.8
"184","Rps11",54.1,126.5,188.8,153.1,134.9,643.4,749
"185","Tmem66",103.8,126,121.7,127.2,119.8,278.4,219.8
"186","D4Wsu53e",168.1,125.8,65,45.1,23.1,20.7,38.1
"187","Gpc1",17.2,125.2,46,40.4,24.4,1.4,1
"188","Atp6v0b",63.6,125,137.5,189.7,167.2,283.7,115.8
"189","Rps3",48.6,124.9,165,179.2,241.2,615.9,548.5
"190","Gng3",1.9,124.5,65.9,33.7,24.7,4.7,1.5
"191","Clta",34.7,124.5,81.9,79.6,80.8,277.8,141.3
"192","Hnrnph1",121.1,123.9,103.4,62,8.3,22.9,56.5
"193","Atp6ap1",67.9,123.5,116.8,160.4,114.6,228.9,70
"194","Ppp2ca",68,123.3,132.9,202.7,135.7,91.4,108.9
"195","Podxl2",9.7,123,82.1,29.8,4.2,10.8,9.8
"196","Rnasek",33.9,122.6,103.2,149.9,194.6,214.8,100.7
"197","Tecr",129.2,122.6,131.6,219.1,278.2,94.3,55.7
"198","Syt1",0.8,122.3,8.4,1.4,3.1,1,0.9
"199","Dstn",48.8,121.4,114.5,212.3,151.3,36.7,221
"200","Celf4",1.1,121.2,5.5,1.2,2.4,2.1,0.6
"201","Ckb",336.1,120.8,428.4,198.2,206.5,261.8,10.1
"202","Rpl4",67.1,120.8,180.8,169.9,132.3,235,450.6
"203","Mdh2",62,120.3,104,110.7,78.9,85.4,97.2
"204","Ctxn1",15.1,119.1,112,23.3,35.4,21,6.1
"205","Atp6v0e2",37.6,116.6,133.5,116.3,87.4,20.5,26.6
"206","Gpm6b",332.6,116.1,257.9,183.3,213.5,3.8,7.1
"207","Tusc3",43.2,115.7,50.8,33.4,18.3,14.9,47.2
"208","Arl8a",81.1,115.1,84.6,120.8,98.3,69.4,15.4
"209","Psmb4",49.7,115.1,110,108.3,110.5,126.9,208.9
"210","Dynlrb1",39.1,114.7,85.2,109.1,115.8,49.1,102.8
"211","Eid1",15.6,114.7,52.7,82.1,66.4,10.1,36.1
"212","Rab6",51.1,114.6,65.4,83.4,72.9,10.1,63.5
"213","Acot7",8,114.6,19.9,78.4,226.1,9.1,15.4
"214","Dkk3",77,112.6,7.5,1.8,1.3,0.6,1.6
"215","Snrpn",9.7,112.5,35.9,47.1,61.7,11.4,9.1
"216","Gabarap",69.2,110.9,137.8,204.4,240.3,360.7,204.3
"217","Pea15a",222.6,110.8,165.8,241.3,535.9,185,258.6
"218","Gm5506",196.3,110.1,332.8,210.2,68.8,169.8,229.2
"219","2410006H16Rik",40.7,110,53.6,63.8,61.1,131.7,156.3
"220","Rab6b",4.8,110,26,10.8,15.7,6,0.7
"221","Calb2",0.4,109.9,16.2,3.3,1.3,0.2,0.8
"222","Syt11",138.6,109.9,160.7,334.6,276,3.8,1.4
"223","Cox5a",53.2,109.8,77.6,77.6,64.3,61.4,121.6
"224","Eif5a",78.2,109.6,111.5,133,93.9,199.7,156.2
