"","Gene.symbol","Astrocytes","Neuron","Oligodendrocyte.Precursor.Cell","Newly.Formed.Oligodendrocyte","Myelinating.Oligodendrocytes","Microglia","Endothelial.Cells"
"2368","Wac",14.6,21.2,21,16.9,4.5,5,19.2
"2369","Cdc123",14.1,21.2,34.2,28.4,16.7,10.6,13
"2370","Becn1",23.3,21.2,24.7,21.6,18.4,24.6,32.4
"2371","Slc25a36",29,21.2,18.4,15.7,3.7,3.6,9.4
"2372","Pcyox1",38.4,21.2,42.5,28.7,14.7,15.4,19.2
"2373","Ccny",14.1,21.2,25.7,38.6,14,11.2,56.6
"2374","Psmb5",10.2,21.2,36.5,30,23.8,22.3,37.4
"2375","Ints10",18.7,21.1,23.5,16.2,5.1,6.6,8.6
"2376","Gfpt1",10.1,21.1,14.4,16.5,3.7,7.1,6.7
"2377","Klf7",20.8,21.1,5,5.2,2.8,2.7,8.4
"2378","Ctgf",37.1,21.1,10.4,0.2,0.4,0.6,39
"2379","Blmh",13.3,21.1,25,22.7,18.1,13.9,24.5
"2380","Lrp10",38.5,21.1,31.8,23.7,18.7,80.1,52.5
"2381","Ddx42",25.3,21.1,12.6,9.6,5,7.4,11
"2382","Whsc1",15,21.1,19.1,9.6,2.3,2.5,6
"2383","Fsd1",2.1,21.1,14.7,9.7,9.8,1.2,0.3
"2384","Tax1bp1",22.7,21.1,28.4,18.5,7.4,6.4,41
"2385","Tnks2",30.2,21.1,23.4,26.9,12.4,11.6,27.9
"2386","Fam117b",4,21.1,7.5,7.1,3.4,6.4,14.6
"2387","Kif21b",23.4,21.1,20.7,22.2,2.5,29.6,0.2
"2388","Rps17",16.4,21.1,47.4,35.7,44.4,67.1,97.4
"2389","Usp14",10,21.1,12.4,7.2,2.6,5.4,10
"2390","Dirc2",13.9,21.1,25.7,25.2,18.9,26.3,14.2
"2391","Tceal6",0.4,21.1,21.6,4.5,0.9,0.5,0.3
"2392","Fbxo3",19.3,21.1,23.8,12.5,4.1,4.7,16.2
"2393","5430437P03Rik",10,21.1,23.6,18.6,18.7,19.9,43.5
"2394","Mafg",19.6,21,11.8,14.3,6,33.8,9.7
"2395","Apex1",16.2,21,24.4,9.9,3.8,34.4,16.1
"2396","Smyd2",8.4,21,31,19.1,12.9,5.3,39.7
"2397","Rph3a",0.2,21,9.1,5.1,18.1,4.7,0.3
"2398","Sec13",24.4,21,44.7,54.1,39,49.1,50.1
"2399","Rnf19b",8,21,18.7,8.3,3.1,120.4,9.5
"2400","Dlx6os1",0.1,21,0.1,0.1,0.1,0.1,0.1
"2401","Rcan1",9.6,21,28.7,12.8,13.6,679.4,16.2
"2402","Dlgap3",0.3,21,13.4,2.1,10.8,16,0.3
"2403","Cops2",15.1,21,17.6,18,10.8,3.4,34.8
"2404","Pdcd4",48.1,21,18,36.4,4.1,3,15.5
"2405","Nr4a3",46.5,21,5.2,1.8,0.2,7.4,5.9
"2406","Bola2",8.5,21,24.3,37.8,38.5,28.7,46.9
"2407","0610010K14Rik",11,21,26.2,15.9,14.8,50.8,46.6
"2408","Fbxw9",9.9,21,11.2,6.9,7.5,5.7,16.2
"2409","Tmcc2",2.3,21,12,58.1,71.6,6.4,0.7
"2410","Pgd",24.4,21,28.7,31.3,23,62.1,29.6
"2411","Ctdsp2",28.9,21,37,38.1,17.1,18.7,24.7
"2412","Tmem167b",19.3,20.9,22.3,18.3,10.9,9.3,17.8
"2413","Dusp11",22.8,20.9,21.5,17.1,5.5,6,19.2
"2414","Poldip3",16.1,20.9,20.1,20.5,10.7,37.4,13.3
"2415","Syf2",30.2,20.9,32.8,37.1,37,40.4,60.7
"2416","Zfp385a",16,20.9,11.6,2.3,1.3,54.5,1.1
"2417","Nktr",35.1,20.9,14,14.1,2,5.6,6.1
"2418","Arih1",23.3,20.9,10.3,8.7,4.8,5.2,15.9
"2419","Scap",25.7,20.9,27.1,27,30.5,21.8,12.2
"2420","Ppt1",45,20.9,93.8,64.4,33.9,63.6,37.2
"2421","Slc25a39",16.4,20.9,46.8,32.5,24.9,59.9,53.3
"2422","Arhgap21",47.2,20.9,19.9,6.3,4,1.3,6.5
"2423","Brd4",13.6,20.9,10.2,10.6,3.8,13.1,12
"2424","Chd5",0.3,20.9,5.6,1.3,0.9,1.1,0.1
"2425","Rbx1",8.4,20.9,17,14.8,12.9,4.8,14
"2426","Hagh",11.1,20.9,19.2,24.9,32.1,22.2,21.4
"2427","Nt5c3l",16.8,20.9,28.3,17.3,10.6,5.5,27.8
"2428","Tmem208",21.5,20.9,35.1,42.5,38.6,33,41.3
"2429","Echs1",33.3,20.9,43.6,41.2,44.3,41,39.1
"2430","Usf1",10.2,20.8,27.2,22.4,22.8,22,10.9
"2431","Sugp2",19.7,20.8,14.8,10,6.2,3.9,4.1
"2432","Kctd12",5.6,20.8,23.5,3.1,1.1,135,27.2
"2433","Crebzf",23.4,20.8,15,13.1,4.6,3,3.7
"2434","Poldip2",21.6,20.8,32.2,24.7,20.5,22.1,16.1
"2435","Gm16379",6.8,20.8,22,19.8,18,17.5,9.9
"2436","Suds3",14.7,20.8,30.6,17.5,17.2,28.9,36
"2437","Psmd12",18.8,20.8,22.3,20.9,11.8,13.4,22.4
"2438","Ubqln4",9.8,20.8,19.2,14.8,9.8,12.1,6.3
"2439","Nucks1",8.7,20.8,17.2,10.9,5.6,3.5,6.8
"2440","Cox19",11.7,20.8,14.9,12.4,16.9,12.8,17
"2441","Ddrgk1",21.2,20.8,40.5,51.7,81.6,54,49.2
"2442","Peli1",19.1,20.7,12.9,42.9,12.2,10.8,18.8
"2443","Id4",56.5,20.7,5.6,0.9,1.2,0.4,1.2
"2444","Aprt",13.7,20.7,27.2,28.9,8.9,52.7,47.9
"2445","Tbc1d9",2.4,20.7,7.8,2.2,0.6,19.1,3.2
"2446","6330407J23Rik",6.8,20.7,10.5,8.8,4.9,0.2,0.1
"2447","Mrpl12",10,20.7,20.1,15.9,19.8,34.7,37.1
"2448","Rnf13",45.6,20.7,54.3,124.8,180.8,35.9,24.9
"2449","Celsr3",0.3,20.7,1.9,0.7,0.3,0.2,0.1
"2450","Gad2",1.8,20.6,0.4,0.1,0.2,0.1,0.2
"2451","Flna",15.4,20.6,6.9,3.9,1.2,21.5,43.8
"2452","Erf",23.7,20.6,15.5,29.6,21.3,59.9,25.6
"2453","Foxk2",15.2,20.6,18.8,16.5,11,11.4,13.9
"2454","Ntan1",17.6,20.6,22.3,14.3,19.5,9.9,43.2
"2455","Creb3",14,20.6,23.8,27.6,22.6,29.8,27
"2456","Rbmxrt",18.9,20.6,23.1,12.9,7.3,14.2,18.3
"2457","Nrsn1",0.2,20.6,14.2,8.6,31.5,12,0.5
"2458","Snx17",18.3,20.6,46.8,48.2,43.9,159.5,50.9
"2459","Lpcat1",44.8,20.6,54.7,28.9,3.9,47.8,11.3
"2460","Ipo7",27,20.6,21.3,20.6,8.5,5.3,35.4
"2461","Snd1",18.6,20.6,27.8,27.8,18.9,35.6,32.8
"2462","Armcx1",3.6,20.6,6.1,4,3.4,0.2,6.6
"2463","Srp72",17.9,20.6,20.3,17.3,9.5,12.6,37.4
"2464","Ndufc1",11.4,20.5,21.5,21.2,26.7,14.7,27.1
"2465","Tmem198",6,20.5,11.2,2.8,1.9,2.1,0.2
"2466","0610037P05Rik",16.5,20.5,29.9,26.9,21.3,8.8,21.5
"2467","Smarcd3",23,20.5,24,8.3,10.9,4.1,1.4
"2468","Eif6",12.7,20.5,22.1,20.9,20.1,47.4,65.9
"2469","Actr10",12.8,20.5,21.6,25.5,18.5,9.8,21.1
"2470","Atf2",13.3,20.5,13.3,10,3.9,2.6,10.9
"2471","Ube4b",12.2,20.5,12,11.8,6,6,11.7
"2472","Bsdc1",12.1,20.5,18.8,16.5,16.8,19.1,28.5
"2473","Snx27",15,20.5,22.4,16,10.3,5,5.4
"2474","A730017C20Rik",7.7,20.5,38.1,8.1,0.5,0.4,0.3
"2475","Camk1",9.1,20.5,64.4,12.7,12.5,318.5,20.8
"2476","Stau2",5.7,20.4,14.3,6.2,3.8,2.6,5.5
"2477","Hdgfrp2",22.7,20.4,16.4,15.3,7.6,13,12.5
"2478","Jtb",26.7,20.4,33.9,30.3,26.5,19.9,20.6
"2479","Kctd20",12.2,20.4,19.1,13.8,7.9,16.9,27.2
"2480","Trappc2l",7.8,20.4,17.3,31.5,31.1,34.3,30.5
"2481","Clasrp",37.9,20.4,20.8,28.2,11.1,8.8,6.6
"2482","Mycl1",1.9,20.4,21.3,61.7,4.7,12.5,5.9
"2483","Slc24a2",0.1,20.4,0.9,10.7,8.1,0.1,0.1
"2484","2410015M20Rik",12.1,20.4,23.7,25.8,31.9,25,50.5
"2485","H2afy2",2.9,20.4,21.6,9.1,1.9,0.3,1.7
"2486","Rnf157",3.8,20.3,12.1,7.1,7.5,5.7,0.2
"2487","Wdr8",4.8,20.3,8.2,5.5,6.6,7.3,4.6
"2488","Ptbp1",54.2,20.3,28.4,26.7,6.9,127.1,104.2
"2489","1700037H04Rik",5.7,20.3,14,9.1,5.8,10.1,4.4
"2490","Ik",23.5,20.3,28.3,22.4,14.3,17.2,25.5
"2491","Ust",0.3,20.3,11.9,100.3,15.3,1.9,0.5
"2492","Lonrf2",1.1,20.3,6.4,3,0.8,0.3,0.1
"2493","C030046E11Rik",10.1,20.3,8.1,7.1,3.4,3.7,10.1
"2494","Fubp1",17.7,20.3,22.6,19.3,3.5,7.5,17.1
"2495","Dctn5",16.3,20.3,29,31.1,33.8,31.2,19.9
"2496","Dcaf8",28.1,20.3,24.1,21.7,22.6,20.5,24.4
"2497","Gns",22.5,20.3,42.3,21.1,9.3,283.1,11.2
"2498","Mknk2",17,20.3,13.7,8.8,4.6,168.9,36.3
"2499","1110008P14Rik",6.7,20.3,13.1,16.6,26.2,9.8,10.4
"2500","Phyhipl",125.6,20.2,24.7,140.4,119.9,1.3,1.2
"2501","Pgs1",9.5,20.2,12.4,15.3,22.8,30.5,10.7
"2502","Tmem229b",3.5,20.2,17.2,12.5,21.6,9.2,5.4
"2503","Cacnb1",17.7,20.2,7.2,2.6,2,2.1,0.5
"2504","Man2a2",32.6,20.2,30.4,43.3,14,45.6,5.5
"2505","Unc13a",1.6,20.2,5,1.6,1.7,1.7,0.3
"2506","Bace1",10.7,20.2,18.2,67.2,37.2,1.4,5.3
"2507","Tpt1",14.6,20.2,26.5,26.2,43.6,104.4,143.9
"2508","Sssca1",6.7,20.2,13.3,13,12.2,8.8,7.8
"2509","Cryab",5.2,20.2,29.9,197.4,544.9,5.3,6.7
"2510","Tceal1",5.8,20.1,13.5,7,5.2,3.1,8.5
"2511","Kpna1",18.2,20.1,18.7,16,5.1,8.1,20.6
"2512","Tmbim4",30.1,20.1,55,57.3,55,54.9,47.5
"2513","Gpcpd1",38.6,20.1,29.1,23.5,3.1,5.2,193.5
"2514","Eny2",16.1,20.1,16.9,11.9,4.9,1.8,14
"2515","Nalcn",0.4,20.1,19.2,11.5,4.1,0.1,0.1
"2516","Dpf1",4.8,20.1,14.3,8.4,1.8,1.3,1.9
"2517","Ppp1r15b",23.9,20.1,23.5,27.3,12.6,15.5,22.7
"2518","6430548M08Rik",3.2,20.1,9.1,7.6,6.2,4.8,2.3
"2519","Jdp2",10.6,20.1,13.3,8.8,10,70,8.1
"2520","Hspd1",17.3,20,22.7,18.3,6.9,10.3,7.9
"2521","Zgpat",24.6,20,21.2,15.5,5.5,14.5,7.7
"2522","Stat3",44.9,20,27.3,17.1,14.6,50.6,28.6
"2523","Elp3",9.9,20,16.5,11.2,9.9,10.6,14
"2524","Pfkl",12.9,20,18.1,15,9.2,37.5,31.5
"2525","1190002N15Rik",4.9,20,9.9,12.3,4.8,1.3,2.4
"2526","Ube2g2",11.2,20,19.1,17.4,11.1,83.8,28.1
"2527","Dohh",8.2,20,17.6,19,16.3,35.8,15.6
"2528","Zfp91",20.9,20,19.8,20.2,20,10.5,26.5
"2529","Cebpa",2.5,20,15.1,1.6,0.9,355.1,1
"2530","0610010O12Rik",13.7,20,12.1,12,23.2,2.4,2.5
"2531","Prps1",6.3,20,6.7,2.7,2.1,7.9,9.2
"2532","Pfdn4",6.9,19.9,13.1,11.3,9.6,6,21.6
"2533","Flrt3",3.7,19.9,9.6,2.2,0.2,0.2,0.3
"2534","Mex3a",4.1,19.9,4.8,2,0.2,1.6,5.1
"2535","Tmem135",24.3,19.9,17.8,13.7,8.7,36.2,8
"2536","Yipf4",18.7,19.9,18.8,16.4,8.8,8.2,30.4
"2537","Pcsk2",0.1,19.9,26.9,5.3,2.1,0.9,0.2
"2538","Elof1",9.9,19.9,18.6,11.4,11.7,18.9,24
"2539","Mtmr6",19.6,19.9,20.5,22.8,16.7,10.3,67.9
"2540","Gnl2",23.9,19.9,18.2,13.3,4.1,9.8,12.9
"2541","Ppm1b",19.3,19.9,16.1,13.6,9.7,7.9,9.8
"2542","Oprl1",0.2,19.9,22.9,4.6,0.4,0.3,0.1
"2543","Qrich1",15.9,19.9,23.2,19.3,7.3,14.3,20.5
"2544","Mta2",26.9,19.9,35.4,27.3,9.3,52.6,72.5
"2545","March9",1.8,19.9,9.3,4.7,2,1.7,0.4
"2546","Fam108c",15.1,19.9,24.2,13.4,6.3,7.9,25.6
"2547","Arfgap1",14.2,19.8,22.2,21,13.4,19.6,13.9
"2548","Glb1",12.8,19.8,17.9,7.9,3.8,28.7,28.3
"2549","Csrnp2",5.5,19.8,5.3,7.4,2.3,1.3,1.6
"2550","AW549877",40.8,19.8,23,25.8,9.9,4.2,11.8
"2551","Itgb1",70,19.8,71.4,81.8,33.9,45.4,275.9
"2552","Znrf2",3.4,19.8,3.9,4.1,3,11.4,9.1
"2553","Ets2",8.6,19.8,9,3.5,0.5,27.3,62.2
"2554","Rbck1",19,19.8,21.7,29.4,26.3,43,30.1
"2555","C78339",11.2,19.8,11,7.3,2.2,1.3,9.7
"2556","Dnajb4",31.5,19.8,21.8,9.4,4,10.4,19.9
"2557","Asphd2",14.6,19.8,22.1,12.6,13.1,3.2,0.3
"2558","Khsrp",14.2,19.8,18.9,17.3,6.9,11.2,4.1
"2559","Srp19",18.5,19.8,23.2,32.2,24.3,5.4,25.5
"2560","Taok2",16.3,19.8,13.7,11,10.8,13.6,16.8
"2561","Aatk",10.1,19.8,13.1,142.7,135.2,4.8,0.4
"2562","Pgam5",10.4,19.8,14,12,8.1,8.9,12
"2563","4930402H24Rik",48.8,19.7,11.3,89.2,51.7,1.1,7.2
"2564","Slc23a2",21.2,19.7,26.2,17.6,5,21.4,17
"2565","Bnip3",6.7,19.7,8,20.6,31.6,5.5,11.5
"2566","Vta1",22,19.7,18.3,20.7,21.3,9.8,18.6
"2567","Klhl7",19.2,19.7,28.4,12,2.4,7.8,8.7
"2568","Rab4b",21.7,19.7,15.4,39.2,54.1,41,30.2
"2569","Dynlt1b",6.3,19.7,26.4,24.9,19.6,12.3,6.3
"2570","Znhit1",4.8,19.7,11.3,11.5,13.1,17.6,16.6
"2571","Rab7",13.2,19.7,18,24.1,21.6,24,25.4
"2572","Gpbp1",18.3,19.7,17.9,13.3,6,6.6,28.2
"2573","9830001H06Rik",8.4,19.7,16.2,67.1,20.7,33.8,4.3
"2574","Mmp24",0.3,19.7,4.7,0.9,1,0.8,0.1
"2575","Tnik",32.8,19.7,12.7,16.7,3.1,0.2,0.6
"2576","Scoc",5,19.7,7.6,7.3,5.2,9.3,16.5
"2577","Prpf38b",41.7,19.7,17.3,12.4,2.7,9.3,18.2
"2578","Ablim3",0.1,19.7,1.4,0.3,0.3,0.4,1.7
"2579","Mpp2",11.4,19.7,15.4,17.2,24,2.4,4.8
"2580","Ppfia4",0.4,19.7,1.9,0.5,0.9,2.1,0.1
"2581","Vat1l",0.2,19.7,28.9,7.9,3.2,0.4,0.3
"2582","Ankra2",11.1,19.7,16.7,15.7,9.2,2.3,3.2
"2583","Pitpnb",14.2,19.7,20.2,17.3,11.5,10,25.4
"2584","Carkd",18.3,19.6,35.5,35.3,24.6,20.6,20.8
"2585","Gclm",16.1,19.6,11.9,15.1,18.6,5.6,18
"2586","H47",40.1,19.6,42.6,67.7,36.7,31.2,30.5
"2587","Rpl10a",14.9,19.6,32.2,23.5,11.9,76.7,76.4
"2588","Ilk",28.5,19.6,31.7,78.6,48.8,58.7,39.4
"2589","1110001J03Rik",16.7,19.6,26.8,13.8,10.2,7.3,17.4
"2590","Gpx4",10.4,19.6,12.5,17.4,30,20.4,41.4
"2591","Fam49b",23,19.6,26.1,23.7,9.3,25.8,11.9
"2592","Gna12",35.3,19.6,42.8,95.7,184.1,104.4,22.9
"2593","Anp32b",19.1,19.5,27.3,37.7,46.5,21.4,40.9
"2594","Pccb",18.5,19.5,30.2,28.1,21.7,24.9,11.9
"2595","Sp9",0.1,19.5,0.1,0.1,0.1,0.1,0.1
"2596","Hnrpll",20.3,19.5,21.9,14.5,5.3,6.1,16.7
"2597","Mrps34",9.7,19.5,14.2,15.4,17.2,17,16.9
"2598","Gpd1l",10,19.5,26.1,16.4,8.4,20.6,11.9
"2599","Vps26b",8.9,19.5,19.5,15.2,8.5,7.6,10.3
"2600","Ubtf",13.4,19.5,21.3,14,9.9,16.8,20.9
"2601","Bicd2",24.5,19.5,17.5,34.9,23.9,13.9,17.2
"2602","Map4k3",9.9,19.5,9.8,7.2,4,3.1,22
"2603","Lbh",24.2,19.5,157.5,48.8,11.8,15.5,5.9
"2604","Gem",190.6,19.5,16.7,1.9,0.6,152.1,89.3
"2605","Lrrc8d",5.2,19.5,15.8,16,11.1,16.9,6.8
"2606","Ap3m2",9.7,19.5,12.9,11.2,7.3,11.5,6.1
"2607","Klhl22",11.2,19.5,14.2,7.6,4.8,8.8,5.4
"2608","Txnrd1",12.9,19.5,33.1,19.6,6.2,79.6,17.4
"2609","Fam53c",13.8,19.5,14.2,10.4,8.7,7.9,9.7
"2610","Lsm3",6.6,19.4,18.6,17.9,20.6,10.7,15.5
"2611","Arhgef25",21.9,19.4,14.8,8,2.4,4.8,1.4
"2612","Nap1l2",0.3,19.4,6.8,1.5,0.7,0.2,0.3
"2613","Leprotl1",10.7,19.4,23.4,21.7,15,19,11.2
"2614","Copb1",36.2,19.4,35.5,30,10.2,16.5,45
"2615","Polr2e",13,19.4,32.2,21.5,15.8,37,38.5
"2616","Sfswap",26.3,19.4,14.5,12.1,4.1,8.5,8.8
"2617","Ttc4",16,19.4,18.8,12.8,6.8,5.6,8.1
"2618","Ipo5",18.8,19.4,32.9,24.7,9.4,22.4,17.1
"2619","Zfand3",21.1,19.4,36.5,34.2,22.9,43.9,36
"2620","Golga7b",0.3,19.4,3.2,0.8,4.3,5.8,0.2
"2621","Ctdnep1",16.4,19.4,31.2,26,19.2,77.2,26.9
"2622","2610301G19Rik",16.1,19.4,16.2,11,6.7,6.1,7.5
"2623","Tnrc18",15.5,19.4,10.5,4.6,1.2,9.4,5
"2624","Grlf1",13.6,19.4,31.9,53.4,9.4,2.3,6.9
"2625","Aacs",35.6,19.4,15.1,53.2,80.5,8.4,2.6
"2626","Csrp1",85.9,19.4,47.7,225.3,494.8,15,201.1
"2627","Sh3gl3",0.4,19.4,27.5,170.6,284.2,1,0.3
"2628","Pik3ip1",23,19.3,20,10.7,12.5,2.8,18.8
"2629","Acd",10,19.3,15.1,10.7,7.3,13,14.7
"2630","Ap1ar",7.4,19.3,7.1,5.7,3.5,2.2,5.8
"2631","Ptprg",20,19.3,37.8,14,0.7,0.4,78.9
"2632","Anapc16",19.7,19.3,31.4,35.7,37.4,33.8,41.1
"2633","Abca2",18.7,19.3,18,107,138.8,6.8,2.2
"2634","Cdh13",12.6,19.3,50.8,37.7,4.1,0.3,2.3
"2635","Arf6",17.4,19.3,15.4,14.8,10.1,55.2,74.9
"2636","Heca",9.2,19.3,10.9,5.3,3.1,5.5,7.5
"2637","2610203C20Rik",25.6,19.3,5.2,1.8,1.1,0.1,0.3
"2638","Spns1",20.5,19.3,32.2,36.8,23.5,43.6,18.8
"2639","Hspa12a",0.2,19.3,1.4,1.1,1.5,0.4,0.8
"2640","Pigu",19.5,19.3,28.3,24.9,21.4,31.9,14.5
"2641","Ctnnbip1",33.4,19.3,31.5,18.6,29.7,16.9,38.9
"2642","Celsr2",10.3,19.3,9.8,4.1,3.4,0.4,0.2
"2643","Pam",9.6,19.2,21.7,4.9,5,0.6,32.1
"2644","Nap1l1",12.5,19.2,27.8,20,7.8,4.4,22
"2645","Pbx1",31.7,19.2,17.3,5.9,2.1,2.1,7.3
"2646","Trip12",18.9,19.2,13.2,15.5,6.1,6.6,24.3
"2647","Fam102b",7.1,19.2,18.6,7.8,1.2,21.7,9.6
"2648","Rab11b",10.7,19.2,12.9,10.6,11.2,13.4,9
"2649","Elp2",24.8,19.2,24.4,15,7.9,11.7,11.1
"2650","Ccdc47",23,19.2,28,31.4,10,8.6,23.3
"2651","Fam134b",1.7,19.2,9.6,9.5,20.6,31.6,10.8
"2652","Nxph3",0.2,19.2,0.5,0.2,0.8,0.5,0.2
"2653","Mlc1",382.6,19.2,35.9,1.4,13.7,12.8,1.9
"2654","Meis3",14.2,19.2,18.7,10.1,3.2,18.6,0.6
"2655","Hs6st1",14,19.2,11.9,8.2,7,52.7,4
"2656","Rmnd5a",15.2,19.2,14.7,15.1,6,5.4,15
"2657","Npc2",34.7,19.2,44.5,101.1,162.1,305.8,59.6
"2658","Trim37",12,19.2,14.2,4.9,4.1,2.2,4.8
"2659","Shisa7",0.2,19.1,30.9,6.9,0.6,0.9,0.1
"2660","Nos1",0.1,19.1,0.1,0.1,0.1,0.1,0.2
"2661","Kat5",17.2,19.1,15.2,11.6,8.1,19.3,14.3
"2662","Ube2q1",12,19.1,20.7,18.7,11.2,33.1,23.4
"2663","Mrps18a",13.7,19.1,17.7,18.4,18.2,26.2,19
"2664","Agtpbp1",4.9,19.1,7.2,9.5,8.3,0.8,4.2
"2665","Fam134c",11.4,19.1,24.8,24.2,16.7,28.5,40.2
"2666","Mrps26",10,19.1,14.9,20.7,17.4,11.3,13.6
"2667","Usp4",20,19.1,28.2,17,8.5,23.5,24.7
"2668","Tbca",5.4,19.1,9.6,6.8,3.9,6.9,27
"2669","4931428F04Rik",1.9,19.1,5.9,5.9,3.5,1.7,1.8
"2670","Zfp664",13.6,19.1,24.3,45.7,41.8,4.5,28.3
"2671","Eif2b2",14.4,19.1,18.3,17.2,21.5,16.4,38.3
"2672","Pknox2",3,19.1,12.8,4.9,0.4,0.4,1.2
"2673","2510009E07Rik",17.6,19.1,22.2,16.5,12.8,14.1,11.4
"2674","Odf2",21.2,19.1,10.4,9.1,5.8,7.6,9.5
"2675","Cul1",24.6,19.1,26.8,22.8,14.5,11.4,28.1
"2676","Dnajb11",35.1,19.1,44.3,52.2,23.5,28.5,29.9
"2677","Jph3",0.1,19.1,17.5,10.9,5,4.6,0.2
"2678","Rp9",5.5,19.1,9.7,8.6,8.7,14.2,18.5
"2679","Dok4",1.4,19.1,3,0.8,0.4,0.8,149.3
"2680","Oxa1l",16.6,19.1,20.7,13.5,10.3,24.5,19.4
"2681","Larp1",14.7,19,10.6,7.5,3.5,11.4,4.9
"2682","Vdac3",7.6,19,13.4,11.4,9.3,6.2,15.8
"2683","Cdc16",24.6,19,34.3,24.1,11,11,32.3
"2684","Gpr137",19.1,19,23,39.8,41.8,34.7,16.1
"2685","Dek",29.5,19,31.5,10.5,3.1,4.3,36.4
"2686","Dapk3",10.4,19,15.7,16.4,16.6,26.5,25.4
"2687","Vps37d",3.9,19,11.8,7.4,1.9,1.1,0.7
"2688","Taf15",25.9,19,18.8,14.1,7.1,6.7,12.5
"2689","Rnf167",20.5,19,28.1,23.8,26.5,57.7,19.7
"2690","Sdf4",15.3,19,29.5,36.4,35.6,57.5,37.4
"2691","Atp5l",8.4,19,14.4,15.9,17.8,9.9,35.7
"2692","Crabp1",0.1,19,0.1,0.1,0.1,0.2,0.2
"2693","Ccndbp1",10.4,19,20.6,34.8,37.3,19.2,17.3
"2694","Samd8",13.2,19,16.4,22.2,14.2,5.8,9.5
"2695","Hexdc",11.7,19,8.4,8.2,8.8,3.9,3.4
"2696","Ttc9",2.6,19,11.9,4.5,5.6,1.7,0.3
"2697","Hnrnpa1",4.9,18.9,8.5,5.1,0.6,2.1,7.8
"2698","Tmem106b",27.9,18.9,40.1,30.5,13.5,4.1,16.1
"2699","Otud5",24.8,18.9,18.5,12.8,9.5,31,18.7
"2700","Map2k7",20,18.9,15.8,13.5,15.2,11.4,12.5
"2701","Sh2b1",15.2,18.9,20.8,17.1,11.8,16.9,10.5
"2702","Mpst",24.8,18.9,23.6,23.9,47.1,16.4,10.7
"2703","1110051M20Rik",8.4,18.9,17.9,14.8,13.4,4.4,5.1
"2704","Camsap1l1",15.9,18.9,15.3,30.1,3.6,1.8,21.1
"2705","Hist3h2a",4.7,18.9,13.9,10.3,8.5,5.5,7.3
"2706","Ppp6r3",23.4,18.9,23.8,18.9,7,10.6,30.2
"2707","Thrap3",23.8,18.9,16.8,14.2,6.8,10.8,17.7
"2708","Hras1",6.2,18.9,15.6,14,20,17.6,17.2
"2709","Impdh1",1.9,18.9,11.5,6.4,2,11.4,57.9
"2710","Timm50",12.3,18.8,35.1,21.6,12.3,26,22.7
"2711","1700081L11Rik",15.9,18.8,14.8,10.8,2.5,8.9,11.4
"2712","A830010M20Rik",5.3,18.8,6.5,6,3.1,0.5,0.7
"2713","Zc3h14",18.4,18.8,21.1,11,5.4,5.2,22
"2714","Hsph1",20.7,18.8,61.2,45.4,17.3,13.3,13.8
"2715","Sbf1",17.7,18.8,18.1,65.7,98.3,19.6,6.7
"2716","Ndufs6",14.4,18.8,29.1,28.6,32,16.5,36
"2717","Fnbp4",31.1,18.8,14.8,10.8,1.5,5.5,9.5
"2718","Tmem55b",25.1,18.8,13.6,22.8,29.1,46.2,9.9
"2719","Tbc1d24",4.3,18.8,6.6,14.6,2.5,3.8,1.8
"2720","Elfn2",0.6,18.7,36.1,30.9,6.9,0.6,0.2
"2721","Mau2",20.1,18.7,19.3,30,18,19.8,13.2
"2722","Prpsap1",18.6,18.7,40.9,27.7,24.2,29.3,22.8
"2723","P2rx5",0.1,18.7,0.1,0.1,0.1,0.1,1.3
"2724","Adar",10.1,18.7,10.2,6.3,2.1,7.4,5.1
"2725","Npas1",0.3,18.7,16.7,7.6,0.8,0.6,0.2
"2726","Slc48a1",32.4,18.7,31.1,93.2,242.5,21.7,15
"2727","Flywch1",13.7,18.7,17.3,14.5,10.8,5.3,6.9
"2728","Gng4",0.2,18.7,2.8,23.5,5.4,1.5,0.3
"2729","Naa50",16.7,18.7,19.4,13.3,5,12.3,16.2
"2730","Wasf3",26.1,18.7,8.4,8,4.7,0.5,0.7
"2731","Paip2b",9.6,18.7,20.5,26.1,13.1,4.8,7.4
"2732","Iglon5",7,18.7,27.4,10.4,2.3,0.9,0.1
"2733","Fyttd1",13.5,18.7,13.1,11.7,4,4,18.8
"2734","Hcfc1",11.1,18.6,14.8,13.4,5.1,9.1,8.7
"2735","Tspan14",35,18.6,13.6,21.2,37.8,150.1,56.2
"2736","Pick1",13.7,18.6,10.1,12.6,6.6,3,3.1
"2737","Mrpl34",6.4,18.6,15,19.9,23.9,13.1,29.5
"2738","Pkig",7.9,18.6,20.6,6.4,10.3,61.5,39.7
"2739","Ppp6r2",13.6,18.6,20.6,15.2,11,8.2,6.7
"2740","Mgat3",11.1,18.6,22.4,32.4,28.4,0.9,0.3
"2741","Vamp4",12.2,18.6,16.6,10.4,4.9,5,8.3
"2742","Mrps23",10.9,18.6,20.5,15.9,16.1,13.3,20
"2743","Coro2b",24.4,18.6,3.4,32,42.1,1.6,9
"2744","Tcta",10.2,18.6,12,29.7,36.7,8.8,18.5
