"","ident","AQP4","SLC1A3","rna_HEPACAM","CD44","NGFR","NCAM1","CD24","rna_FUT4","CXCR4","PDGFRA","rna_ITGB2","rna_ITGB1","rna_TF","NKX2-2","rna_PROM1","MAP2"
"80","Mixed",0,0.0049103921611991,0,0,-0.0453213050999245,0.0934332264526534,2.82211759092863,0,0.245890324750606,0,0,0,0,0,0,0.155325519821393
"81","Astrocytes",0.361185664031127,0.14027604022593,0,0.334704197411131,0.0873263181448817,0.661294282820139,2.65488463792367,0,0.135509920619851,0,0,0,0,0.0664397487826287,0,0.638523888797955
"82","Radial Glia - 2",0,0.0126570705051687,0,0.000138258280016507,-0.130973605410071,3.55720707600232,8.62943073884319,0,0.289531375082812,0.125921255176673,0,0,0,0,0,0.607361974960836
"83","Mixed",0,0.171023025538035,0,0.00285470830081064,0.290695440749755,-0.0532439602950179,4.00375567897781,0,0.314053925918628,0,0,0,0,0,0,0.0764289074446155
"84","Neurons - 2",0,0.0183491403835982,0,0,0.163688447634845,1.53057932059244,23.0525649989115,0,-0.303852347811685,0.00841640188636297,0,0,0,0,0,5.69261844445631
"85","Neurons - 2",0,0.0068254267416887,0,0,0.212281096635275,3.13380208261313,14.2689757886935,0,0.260434939359086,0,0,1,0,0,0,8.39741976769858
"86","Radial Glia - 1",0,0.129875634063261,0,0,0.0567070794830256,2.00232236266462,8.99895753467412,0,2.1410254462775,0,0,2,0,0,0,3.48484132962905
"87","Neurons - 1",0,-0.0925322751515029,0,0,0.146311633938659,11.6114940672841,10.9849580263074,0,0.190475343396014,0.00548360587019784,0,2,0,0,0,12.265291126507
"88","Astrocytes",0.0851465288421077,0.289912557532177,0,1.52297590364923,0.950951299983279,2.30837304964152,17.9120710405961,0,-0.692975408814702,0.0125220084862948,0,3,0,0.119624423234248,0,6.49293795154019
"89","Neurons - 2",0,0.101273829598599,0,0,-0.0990392209717461,5.06977339366901,15.7578075747744,0,0.178878853099198,0.0579205168271174,0,2,0,0,0,3.55448816989346
"90","Neurons - 1",0,-0.0389282878464673,0,0.000654147572527916,-0.0759927174631259,2.09176827882797,8.0823423199446,0,0.371311643668913,0.00810025921546919,0,1,0,0.010715676264741,0,0.613493683378986
"91","Astrocytes",0.209722708589007,0.147409766620133,0,0.0667334743051838,-0.150835859693464,0.125956877798952,1.91044310339528,0,-1.26327927896821,-0.00384702741131833,0,1,0,0.00247935043936422,0,-0.100398477244672
"92","Radial Glia - 1",0,0.183442031773251,0,0,0.176431682776044,0.0840117375378892,3.12684498666169,0,0.275555187806541,0,0,0,0,0,0,0.0607372293252168
"93","Mixed",0,1.04513602551312,0,0,0.395264716278812,0.191071785463125,4.90519397574438,0,5.27280453925437,0,0,0,0,0,0,0.456455247363409
"94","Neurons - 2",0,0.0444283021081816,0,0,-0.0390591524800097,7.1197632011727,19.0100359542209,0,2.00465881282637,0.0760237065798662,0,2,0,0,0,6.56199394788004
"95","Neurons - 1",0,0.012615058862206,0,-0.0373319334272276,0.12427085497685,4.8372711570396,14.9124055430934,0,0.0299209861848578,0,0,0,0,0.00633890425621089,0,0.304008496699276
"96","Radial Glia - 1",0.057662406004692,0.136100417171038,0,0.166927676015104,0.00896680268358065,0.886162844419978,3.19861822974263,0,4.14112732617909,0,0,1,0,0.00832743578161613,0,1.57753495927889
"97","Mixed",0,0.00454416320328193,0,0,0.440174427959562,0.294132143177656,2.95217340291198,0,0.00796980492610091,0,0,0,0,0.0094536833965884,0,0.56837006397053
"98","Radial Glia - 1",0,0.244824706001101,0,0.00647818361970496,0.121778292564072,1.12925681322825,3.9568067436572,0,1.19574599727587,0,0,0,0,0,0,0.00613534629641392
"99","Mixed",0,0.0605773639865329,0,-0.0119551641599311,-0.19005609423618,0.33633008547799,2.15099764129996,0,0.674369221098186,0,0,0,0,0,0,0.380691197498502
"100","Radial Glia - 1",0,0.924753428195158,0,0,0.00837010850921019,0.555600400957498,4.8701527411087,0,-0.0805367484692725,0,0,0,0,0,0,0.0701098778058258
"101","Neurons - 1",0,-0.0327944221447942,0,0.000120095160477981,-0.0672013171599357,1.75263144735495,14.6587774246482,0,-0.023865481478464,0.0185442009421236,0,0,0,0.000539152416326724,0,4.03915202320633
"102","Radial Glia - 1",0,0.787232282324084,0,0,-0.100028216619613,1.14488251197264,9.94158187643924,0,-0.132278310877223,0,0,2,0,0,0,1.49928761262489
"103","Radial Glia - 2",0,0.0288955172764288,0,0.000677680372981483,-0.20776116312955,-0.36228269880741,10.3571046872053,0,0.426253629967288,0.123516809688012,0,0,0,0,0,1.56905988892345
"104","Radial Glia - 1",0,1.3316318901492,0,0.0109119192697136,1.18985240449375,-0.21490835613079,6.81868837936108,0,2.6204102363922,0,0,1,0,0,0,0.992357845701663
"105","Mixed",0,0.0391148182551707,0,0,-0.268366563022992,2.9281178327153,13.4167105644997,0,0.69430925917576,0,0,4,0,0,0,7.46725884728794
"106","Neurons - 2",0,0.0522602679697585,0,0,-0.241746182060529,2.19051220193833,18.8697937076729,0,0.421121555173045,0.111154897219432,0,1,0,0,0,2.33874419860356
"107","Radial Glia - 2",0,0.020207972843109,0,0.00068967906042795,1.63859408180865,0.861729915250308,15.1190133222856,0,0.442956620270895,0.106052606175573,0,0,0,0,0,1.51950508920091
"108","Neurons - 1",0,-0.0369072272880764,0,0,0.119099909956212,1.23309995078393,3.84326040449526,0,0.182233663328639,0,0,0,0,0.0250748165296809,0,2.17690444489906
"109","Radial Glia - 2",0,0.255307182680191,0,0,0.294720943936997,-0.0246962598479604,1.51592331628086,0,0.0106470991589732,0,0,0,0,0,0,2.81526681536017
"110","Mixed",0,0.0236464390852806,0,0,0.0350605025974969,0.249128410209464,2.25145415757909,0,1.37111528780107,0,0,0,0,0,0,0.0803695959177736
"111","Neurons - 1",0,0,0,0,-0.0981091376684312,4.45411811696876,10.0890492721313,0,0.451483362265611,0.0518389452065706,0,0,0,0.009273639437531,0,1.63629846495633
