"","ident","NKX2-2_mean","NKX6-2_mean","rna_SOX17_mean","SOX10_mean","OLIG1_mean","rna_MYT1_mean"
"1","Radial Glia - 1",0.0115652169405401,0.0126244992988792,0,0.000166513297858827,0.0704320932430599,0.072987208427389
"2","Neurons - 1",0.0135327209613928,0.0044704919391629,0,0,0.00450774949053144,0.276153846153846
"3","Mixed",0.00647706120689726,0.0391103752970511,0,0.00155049658323304,0.00230247087427362,0.0859845227858985
"4","Neurons - 2",0.00273189461424809,0.0613970436102166,0,0.000310033568224902,0.04311010891072,0.931506849315068
"5","Radial Glia - 2",0.00215698791079489,0.00465187287568868,0,0,0.0390816664091477,0.322222222222222
"6","Oligos",4.72502853723839e-05,0.00253807106598985,0,0.00253807106598985,0.0635488128726558,0.266497461928934
"7","Astrocytes",0.0627024095930491,0.00845538745383088,0,0.116842099782405,0.0109881818463111,0.0626959247648903
"8","NPC",0.0321995486073881,0.00783014452260253,0,0,0.0015424738502998,0.212389380530973
