"X","CD24","CD56","CD29","CD15","CD184","CD133","CD71","CD44","GLAST","AQP4","HepaCAM","CD140a","O4"
"StemCell",0.75215849138618,0.52782007084224,0.601735021217281,0.0829764244919245,0.175806073358664,0.360806883027108,0.337332878094207,0.16225119143199,0.22517767074991,0.107228227230578,0.171913748738025,0.42867575108971,0.221053441817396
"NPC",0.74563341591387,0.6470808534673,0.316963100948862,0.285880980163361,0.405746048460729,0.275911332268131,0.0277956414857534,0.305884988446557,0.195904558022544,0.0556920741230892,0.0238189443237052,0.0160233879404349,0.393909370181087
"Neuron",0.868293011564314,0.734277161375189,0.0547631243391638,0.192218343030706,0.270960023318032,0.0530222053729793,0.286971046236216,0.0350703588788681,0.0215792519895354,0.177800399277767,0.213144084837579,0.198493672421443,0.272890197495725
"Astrocyte",0.0772759543066543,0.425491534672433,0.67065799317198,0.243776880945702,0.640624823620214,0.521773352587749,0.618148087413014,0.824104805359916,0.935702753897829,0.742507484630322,0.807914985434182,0.388761354123253,0.126442344885262
"OPC",0.120762267003463,0.723638141039176,0.138034729931604,0.320512820512821,0.0467354199313879,0.447319714848197,0.0384324528444988,0.107620337274772,0.244821834240534,0.159842138387713,0.440942237580695,1,0.182810409826098
"Oligo",0.28992773034227,0.591171094250508,0.403231525161096,0.223540055107716,0.314935064935065,0.336333743816662,0.132340367323366,0.234436439094676,0.331474150698245,0.0973705560656811,0.40918481159484,0.240830705834372,1
"RG",0.181060993063126,0.264315434092196,0.382417085461949,0.408710018684298,0.793900270953173,0.480046067596606,0.471460603700696,0.323283454309138,0.616905563914204,0.424232714963233,0.41795625091502,0.0612932291549238,0.24534779049167
"Endothelial",0.221871657712387,0.0607719163253776,0.531025747795878,0.666666666666667,0.628348474641592,0.713014409563195,0.714897560354581,0.253827867810575,0.0943226833161318,0.0560810110443004,0.0813109841513816,0.00150496626375105,0.0408876837448266
"Epithelial",0.181523238863548,0.333399771837928,0.463117877627737,0.753459311288732,0.0661151609517532,0.746552439020847,0.370236984138919,0.5,0.603948707637136,0.175079661040057,0.672842262202695,0.652761904761905,NA
